"","train","X","Y","Green8_5","Red8_5","Red.Edge8_5","NIR8_5","NDVI8_5","DSM8_5","StdVegHeight8_5","Green7_12","Red7_12","Red.Edge7_12","NIR7_12","NDVI7_12","DSM7_12","StdVegHeight7_12"
"571",3,306920.9071,4994488.5298,0.032454,0.018805,0.0505482,0.061138,0.5052894,179.0046844,0.0041794,0.0209268,0.0103249,0.0188885,0.0212152,0.5052894,179.0046844,0.0458242
"581",3,306954.9169,4994470.8757,0.0274027,0.0134383,0.0461413,0.0718587,0.6980429,178.7145538,0.008259,0.0280264,0.0129921,0.0996184,0.1571053,0.6980429,178.7145538,0.2338548
"591",3,306677.3441,4994377.645,0.0305981,0.0206302,0.0516658,0.0636136,0.3999185,177.7069092,0.0160768,0.0498107,0.030161,0.1005088,0.1130705,0.3999185,177.7069092,0.0300622
"601",3,306674.8882,4994371.3006,0.0303384,0.0201437,0.0509098,0.0603776,0.3858534,177.5118561,0.0072569,0.0254929,0.0110842,0.0242325,0.0346887,0.3858534,177.5118561,0.0078782
"611",3,306675.968,4994417.0848,0.0397595,0.0229167,0.0638552,0.0709082,0.6107551,177.6008301,0.0026514,0.0432153,0.0202971,0.0562574,0.0608384,0.6107551,177.6008301,0.0137769
"621",3,306670.4458,4994494.2725,0.0366601,0.0237541,0.0532339,0.080209,0.2489866,178.0595703,0.0456453,0.0349818,0.0216164,0.0433448,0.0626865,0.2489866,178.0595703,0.0046427
"631",3,306736.0163,4994507.1004,0.0299339,0.0202231,0.0242088,0.0313421,0.3010603,178.1813507,0.0051488,0.0286832,0.0216592,0.0284251,0.0337745,0.3010603,178.1813507,0.0134413
"641",3,306829.1162,4994517.3473,0.0365498,0.0233731,0.055474,0.0693329,0.4924455,178.9992828,0.0052175,0.0245592,0.0151989,0.0260606,0.031449,0.4924455,178.9992828,0.0124254
"651",3,306842.0712,4994507.686,0.0418806,0.0274473,0.078058,0.0916096,0.5529735,179.1280823,0.0027325,0.0430701,0.0261125,0.0964088,0.1131304,0.5529735,179.1280823,0.0071281
"671",3,306995.044,4994461.5453,0.0330633,0.0219982,0.0454191,0.0588388,0.3165632,178.3552399,0.0106407,0.0232846,0.0129359,0.0286133,0.0386809,0.3165632,178.3552399,0.009467
